ID,Módulo,Feature,Escenario (Gherkin),Técnica de Diseño,Prioridad,Precondiciones (Given),Pasos (When),Resultado Esperado (Then),Resultado Obtenido,Estado (Pasó/Falló),Ejecutado Por,Fecha Ejecución,Observaciones
CP-AUTH-01,Autenticación,Inicio de Sesión,"Login exitoso con credenciales válidas",Partición de equivalencia,Alta,"Usuario registrado con correo y contraseña válidos","Ingresa correo y contraseña → clic en Iniciar Sesión","Redirige a /tickets",,,,, 
CP-AUTH-02,Autenticación,Inicio de Sesión,"Login fallido con credenciales inválidas",Partición de equivalencia,Alta,"Usuario en página de login","Ingresa correo válido y contraseña incorrecta → clic en Iniciar Sesión","Muestra mensaje 'Credenciales inválidas'",,,,, 
CP-AUTH-03,Autenticación,Inicio de Sesión,"Login fallido muestra error genérico",Valor límite,Media,"Servidor responde con error sin mensaje","Ingresa credenciales → clic en Iniciar Sesión","Muestra 'Error al iniciar sesión. Intenta nuevamente.'",,,,, 
CP-AUTH-04,Autenticación,Inicio de Sesión,"Formulario muestra campos requeridos",Análisis funcional,Media,"Usuario en página de login","Observa el formulario","Muestra campos: Correo electrónico, Contraseña, botón Iniciar Sesión, enlace a registro",,,,, 
CP-AUTH-05,Autenticación,Registro,"Registro exitoso con datos válidos",Partición de equivalencia,Alta,"Usuario en página de registro","Completa todos los campos correctamente → clic Crear cuenta","Registra usuario y redirige a /tickets",,,,, 
CP-AUTH-06,Autenticación,Registro,"Registro fallido por contraseñas no coinciden",Partición de equivalencia,Alta,"Usuario en página de registro","Ingresa contraseñas diferentes → clic Crear cuenta","Muestra 'Las contraseñas no coinciden' y no invoca API",,,,, 
CP-AUTH-07,Autenticación,Registro,"Registro fallido por contraseña muy corta",Valor límite,Alta,"Usuario en página de registro","Ingresa contraseña de menos de 8 caracteres → clic Crear cuenta","Muestra 'La contraseña debe tener al menos 8 caracteres'",,,,, 
CP-AUTH-08,Autenticación,Registro,"Registro fallido por email duplicado",Partición de equivalencia,Media,"Ya existe usuario con mismo email","Completa registro con email duplicado → clic Crear cuenta","Muestra 'Email ya registrado'",,,,, 
CP-AUTH-09,Autenticación,Registro,"Formulario muestra todos los campos",Análisis funcional,Baja,"Usuario en página de registro","Observa el formulario","Muestra: Nombre de usuario, Correo, Contraseña, Confirmar contraseña, botón, enlace a login",,,,, 
CP-TKT-01,Tickets,Listado de Tickets,"Admin ve todos los tickets",Partición de equivalencia (roles),Alta,"Autenticado como admin, existen 2 tickets","Navega a listado de tickets","Muestra 'Panel de Tickets', ambos tickets y contador '2 tickets encontrados'",,,,, 
CP-TKT-02,Tickets,Listado de Tickets,"Usuario regular solo ve sus propios tickets",Partición de equivalencia (roles),Alta,"Autenticado como user, existen tickets de varios usuarios","Navega a listado de tickets","Muestra 'Mis Tickets' y solo tickets propios",,,,, 
CP-TKT-03,Tickets,Listado de Tickets,"Estado vacío cuando no hay tickets",Valor límite,Media,"Autenticado como admin, 0 tickets","Navega a listado de tickets","Muestra 'No hay tickets registrados'",,,,, 
CP-TKT-04,Tickets,Listado de Tickets,"Estado de carga al iniciar",Análisis funcional,Baja,"Autenticado, API respondiendo lento","Navega a listado de tickets","Muestra 'Cargando tickets...'",,,,, 
